City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,puerto penasco,31.3167,-113.5333,19.54,36,14,2.71,MX,1734756728
333,abong mbang,3.9833,13.1833,16.78,55,93,0.38,CM,1734756729
334,ingleby greenhow,54.4498,-1.1069,7.85,85,95,7.6,GB,1734756730
335,zorritos,-3.6805,-80.6782,23.3,74,99,3.5,PE,1734756731
336,jayapura,-2.5333,140.7,32.66,77,46,3.65,ID,1734756732
337,mundi,22.0667,76.5,22.73,31,8,4.85,IN,1734756733
338,howard springs,-12.497,131.047,34.99,75,83,3.37,AU,1734756734
339,richards bay,-28.783,32.0377,25.54,78,15,3.92,ZA,1734756735
340,bonthe,7.5264,-12.505,22.54,84,4,2.17,SL,1734756736
341,cognac,45.5,-0.25,9.78,93,100,5.66,FR,1734756737
342,tapes,-30.6733,-51.3958,21.44,88,0,4.36,BR,1734756738
343,cavelossim,15.1726,73.9419,25.99,68,67,2.43,IN,1734756739
344,guerrero negro,27.9769,-114.0611,15.23,83,1,4.44,MX,1734756741
345,ayr,55.4627,-4.6339,8.61,95,75,10.29,GB,1734756742
346,al bardiyah,31.7561,25.0865,12.68,49,0,8.26,LY,1734756743
347,margate,51.3813,1.3862,5.39,89,70,6.45,GB,1734756745
348,raychikhinsk,49.7838,129.4121,-20.41,87,100,2.24,RU,1734756746
349,guozhen,34.3659,107.359,1.48,30,43,2.98,CN,1734756747
350,strugi-krasnyye,58.2675,29.1114,-2.5,81,96,5.25,RU,1734756748
351,santa rosa,14.3122,121.1114,28.99,80,98,7.29,PH,1734756749
352,robore,-18.3333,-59.75,24.63,73,92,1.63,BO,1734756750
353,polyarnyy,69.1989,33.4478,-2.18,89,100,9.23,RU,1734756751
354,vernon,50.2581,-119.2691,2.64,95,100,1.03,CA,1734756752
355,selfoss,63.9331,-20.9971,0.02,92,100,2.19,IS,1734756753
356,bereket,39.2446,55.5154,2.0,71,2,7.53,TM,1734756755
357,barakani,-12.1356,44.4317,27.02,74,12,1.69,KM,1734756756
358,ixtapa,20.7,-105.2,24.01,87,37,1.16,MX,1734756757
359,iskateley,67.6803,53.1512,-9.91,94,100,7.86,RU,1734756681
360,lagunas,-5.2269,-75.6753,23.3,93,94,0.63,PE,1734756759
361,vasil'yevo,55.836,48.6582,1.48,94,100,6.61,RU,1734756760
